Primary Angle,A 125,A 100,A 80,A 70,F 125,F 100,F 80,F 70
0,0.02200,0.01721,0.01182,0.00863,0.03184,0.02751,0.02139,0.01675
30,0.02355,0.01820,0.01219,0.00854,0.03455,0.02977,0.02303,0.01760
60,0.02131,0.01623,0.01061,0.00732,0.03162,0.02685,0.02014,0.01502
90,0.01677,0.01282,0.00835,0.00600,0.02486,0.02102,0.01519,0.01157
135,0.02698,0.02150,0.01533,0.01148,0.03841,0.03369,0.02723,0.02198
180,0.02882,0.02327,0.01621,0.01174,0.04112,0.03711,0.02956,0.02302
